M尽/Ano Aprova豪o;Linha/Programa;Agente Financeiro;Tipo de Agricultura;Benefici㎎ios;Estado;Regi黍;Valor Aprovado R$;Nｼ de Opera惚es
 7/2020;ABC Ambiental;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;ESPIRITO SANTO      ;SUDESTE             ;2.172.305,6;1
 7/2020;ABC Demais Finalidades;BADESUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;841.390,0;1
 7/2020;ABC Demais Finalidades;BANCOOB;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;236.460,0;1
 7/2020;ABC Demais Finalidades;BANRISUL;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;159.701,3;2
 7/2020;ABC Demais Finalidades;BASA;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;5.277.546,0;5
 7/2020;ABC Demais Finalidades;BRDE;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;9.439.242,0;3
 7/2020;ABC Demais Finalidades;ITAU;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;4.999.904,0;1
 7/2020;ABC Demais Finalidades;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;2.407.379,6;2
 7/2020;ABC Demais Finalidades;SICREDI;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;1.379.090,0;1
 7/2020;Bndes Cr仕ito Rural;BADESUL;Agricultura Empresarial;Cooperativa;RIO GRANDE DO SUL   ;SUL                 ;17.623.493,4;1
 7/2020;Bndes Cr仕ito Rural;BADESUL;Agricultura Empresarial;Empresas Agro;RIO GRANDE DO SUL   ;SUL                 ;136.000,0;1
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Empresas Agro;BAHIA               ;NORDESTE            ;255.217,2;3
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Empresas Agro;GOIAS               ;CENTRO OESTE        ;1.002.000,0;5
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Empresas Agro;MINAS GERAIS        ;SUDESTE             ;920.356,5;3
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Empresas Agro;PARA                ;NORTE               ;324.900,0;2
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Empresas Agro;SAO PAULO           ;SUDESTE             ;189.865,0;2
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Empresas Agro;TOCANTINS           ;NORTE               ;383.209,0;1
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;BAHIA               ;NORDESTE            ;957.253,7;5
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;GOIAS               ;CENTRO OESTE        ;7.490.000,0;19
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MARANHAO            ;NORDESTE            ;31.000,0;1
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO         ;CENTRO OESTE        ;25.402.959,5;39
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MATO GROSSO DO SUL  ;CENTRO OESTE        ;11.171.597,5;24
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;MINAS GERAIS        ;SUDESTE             ;11.344.574,2;42
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARA                ;NORTE               ;2.030.160,0;6
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PARANA              ;SUL                 ;1.298.070,0;6
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;PIAUI               ;NORDESTE            ;250.278,6;1
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RIO DE JANEIRO      ;SUDESTE             ;206.550,0;3
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RIO GRANDE DO SUL   ;SUL                 ;2.881.900,0;8
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;RONDONIA            ;NORTE               ;3.785.577,8;20
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;509.600,0;3
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;SAO PAULO           ;SUDESTE             ;7.669.243,5;26
 7/2020;Bndes Cr仕ito Rural;BRADESCO;Agricultura Empresarial;Produtor Rural - Demais;TOCANTINS           ;NORTE               ;6.166.500,0;2
 7/2020;Bndes Cr仕ito Rural;BRDE;Agricultura Empresarial;Produtor Rural - Demais;SANTA CATARINA      ;SUL                 ;1.512.020,0;4
